model,cv_mean,cv_std,range_mean,range_std,consistency_mean,consistency_std,runs
router,0.11743989012607538,0.021189219097059283,0.23487978025215075,0.042378438194118566,0.7884016197826595,0.0358478749093997,8
gpt-4o,0.06323099246158835,0.0065848122697322285,0.1264619849231767,0.013169624539464457,0.8686905270365053,0.012496248434884567,8
gpt-4o-mini,0.03441232035528126,0.004946586196734081,0.06882464071056252,0.009893172393468161,0.9279060830551691,0.011389181809680921,8
gpt-4.1,0.055521685633547264,0.007264058504211391,0.11104337126709453,0.014528117008422782,0.8822281879950347,0.015625061935062728,8
gpt-4.1-mini,0.10136645479844146,0.0008235534844474717,0.20273290959688292,0.0016471069688949434,0.7864478078391709,0.003176181125373984,8
gpt-4.1-nano,0.09495806961606126,0.018875605512565775,0.18991613923212253,0.03775121102513155,0.8293600982822116,0.03191957142491956,8
gpt-4.5-preview,0.08338682129098551,0.01927246648120914,0.16677364258197103,0.03854493296241828,0.8482493173414558,0.03752796368404009,8
claude-3-5-haiku-latest,0.07949689208308619,0.011875936569055952,0.15899378416617238,0.023751873138111904,0.8412801953937451,0.020871446106597483,4
claude-3-5-sonnet-latest,0.12482237556017364,0.022654332243257677,0.24964475112034729,0.045308664486515354,0.7770511517808996,0.03276646573647466,4
claude-3-7-sonnet-latest,0.11653762971080968,0.018303637146003644,0.23307525942161936,0.03660727429200729,0.7808645982787978,0.0376811647451212,4
router-payload-pharma,0.051259873720678945,0.021137031023324624,0.10251974744135789,0.04227406204664925,0.9044848200953383,0.03789790905674354,8
router-payload-simple,0.05259506707210959,0.015637097256213796,0.10519013414421918,0.03127419451242759,0.905995925930197,0.025277434909644354,8
router-payload-rhetoric,0.08016681718840933,0.027016327596652914,0.16033363437681866,0.05403265519330583,0.8502419789110973,0.044249561771766144,8
gpt-4.1-nano-payload-pharma,0.06598487890180092,0.00666065273815452,0.13196975780360184,0.01332130547630904,0.8686065834266836,0.016948360304181002,8
